                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.93188,                0.56732,                0.99174,                0.92694,                0.91637,                0.95735,                0.65716,                 1.0561,                 0.6118,                0.99853,             0.00092435,             0.00092435,             0.00092435
                     47,                0.92064,                0.55702,                0.97432,                0.95723,                0.90434,                 0.9544,                0.67331,                 1.0553,                0.56504,                0.98733,             0.00090785,             0.00090785,             0.00090785
                     48,                0.91085,                0.54515,                0.97839,                0.91099,                0.91885,                0.95542,                0.66903,                 1.0843,                 0.5814,                 1.0017,             0.00089134,             0.00089134,             0.00089134
                     49,                0.92719,                0.55794,                0.98098,                0.92806,                0.92032,                 0.9624,                0.67633,                 1.0419,                0.58088,                0.98135,             0.00087484,             0.00087484,             0.00087484
                     50,                0.90625,                0.54532,                0.97387,                0.95061,                 0.8929,                0.96042,                0.67442,                 1.0404,                0.55982,                0.98533,             0.00085834,             0.00085834,             0.00085834
                     51,                0.92067,                0.55006,                0.97496,                0.94326,                0.90782,                 0.9597,                0.67752,                 1.0076,                0.57427,                0.97307,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.9291,                0.55122,                0.98681,                0.95282,                0.89736,                0.96278,                0.67641,                 1.0586,                0.56362,                0.99328,             0.00082533,             0.00082533,             0.00082533
                     53,                0.91123,                0.54794,                0.97815,                0.95232,                0.89251,                0.96115,                0.68765,                 1.0052,                0.56252,                0.97473,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90799,                0.54056,                0.98134,                0.92779,                0.90801,                0.95865,                0.66748,                  1.044,                0.58193,                0.98951,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90322,                  0.538,                0.97538,                0.93912,                0.90575,                0.95655,                0.67627,                 1.0438,                0.55478,                0.99331,             0.00077582,             0.00077582,             0.00077582
                     56,                0.90683,                0.53719,                 0.9775,                0.93777,                0.89233,                0.95148,                0.66308,                 1.1036,                0.60168,                 1.0009,             0.00075932,             0.00075932,             0.00075932
                     57,                0.89895,                0.53268,                0.97073,                0.96299,                0.89004,                0.95893,                0.68137,                  1.014,                0.56802,                0.97627,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89402,                0.52261,                0.97908,                0.93232,                0.91054,                0.96018,                0.68164,                 1.0038,                0.55639,                0.98087,             0.00072631,             0.00072631,             0.00072631
                     59,                0.87729,                 0.5206,                0.96724,                0.93445,                0.91256,                0.95772,                0.67501,                 1.0691,                0.57237,                0.99651,             0.00070981,             0.00070981,             0.00070981
                     60,                0.92242,                0.53871,                0.98081,                0.93089,                0.89547,                0.95383,                0.67152,                 1.0402,                0.59663,                0.99425,             0.00069331,             0.00069331,             0.00069331
                     61,                0.89129,                0.52837,                0.97431,                0.96295,                 0.9059,                0.95616,                0.68355,                 1.0341,                0.54569,                0.98974,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88778,                0.52686,                0.96801,                0.95593,                0.90812,                0.96565,                0.68486,                 1.0152,                0.55065,                0.98045,              0.0006603,              0.0006603,              0.0006603
                     63,                0.87372,                0.51609,                  0.959,                0.95518,                0.89968,                0.95793,                 0.6788,                  1.017,                0.54856,                0.97854,              0.0006438,              0.0006438,              0.0006438
                     64,                0.86318,                 0.5145,                0.96389,                0.95518,                0.90622,                0.96062,                 0.6829,                 1.0128,                0.55164,                0.97632,             0.00062729,             0.00062729,             0.00062729
                     65,                0.85117,                0.50092,                0.95564,                0.96088,                  0.906,                 0.9626,                0.67051,                 1.0629,                0.55459,                0.98077,             0.00061079,             0.00061079,             0.00061079
                     66,                0.85721,                0.50843,                0.95727,                0.93905,                 0.9168,                0.95891,                0.68438,                 1.0069,                0.55273,                0.97671,             0.00059429,             0.00059429,             0.00059429
                     67,                0.85801,                0.50746,                0.96246,                0.93996,                0.91824,                0.96388,                0.68898,                 1.0367,                0.53295,                0.98884,             0.00057778,             0.00057778,             0.00057778
                     68,                0.85741,                0.50437,                0.96468,                0.93439,                0.91008,                 0.9569,                0.66461,                 1.0644,                 0.5642,                0.99287,             0.00056128,             0.00056128,             0.00056128
                     69,                0.85303,                0.49914,                0.95786,                0.94032,                0.91032,                 0.9622,                0.67416,                  1.017,                0.54964,                0.98484,             0.00054478,             0.00054478,             0.00054478
                     70,                0.81984,                0.49183,                0.95102,                0.94325,                0.90499,                0.95719,                0.67664,                 1.0211,                0.54958,                0.99982,             0.00052827,             0.00052827,             0.00052827
                     71,                0.83103,                0.49077,                 0.9518,                0.94479,                0.90251,                0.95611,                0.66731,                 1.1062,                0.56643,                 1.0085,             0.00051177,             0.00051177,             0.00051177
                     72,                0.82612,                0.48839,                 0.9507,                0.94292,                0.91877,                0.95967,                0.67666,                 1.0585,                0.55998,                 0.9876,             0.00049527,             0.00049527,             0.00049527
                     73,                0.81745,                 0.4771,                 0.9474,                0.92296,                0.92306,                0.95949,                 0.6825,                 1.0312,                0.54955,                0.98508,             0.00047876,             0.00047876,             0.00047876
                     74,                0.84413,                  0.497,                0.96318,                0.94574,                0.91183,                0.95933,                0.68598,                 1.0207,                0.53538,                0.98501,             0.00046226,             0.00046226,             0.00046226
                     75,                0.83852,                0.48708,                0.95255,                0.94328,                0.91022,                0.95211,                0.65446,                 1.1092,                0.57118,                 1.0069,             0.00044576,             0.00044576,             0.00044576
                     76,                0.83716,                0.48933,                0.95923,                0.95875,                0.89517,                0.95303,                0.67038,                 1.0625,                0.54411,                 1.0055,             0.00042925,             0.00042925,             0.00042925
                     77,                0.81202,                 0.4771,                 0.9422,                0.95864,                0.90155,                0.95813,                0.68032,                 1.0832,                0.54025,                 1.0129,             0.00041275,             0.00041275,             0.00041275
                     78,                0.80235,                0.47151,                0.94038,                0.95882,                0.90613,                0.96244,                0.68426,                 1.0521,                0.52845,                 0.9879,             0.00039625,             0.00039625,             0.00039625
                     79,                0.80117,                0.47054,                0.93585,                0.95204,                0.90603,                0.96105,                0.67058,                 1.0716,                0.54279,                 1.0013,             0.00037974,             0.00037974,             0.00037974
                     80,                0.81635,                0.47934,                0.94665,                0.95081,                0.88869,                0.95775,                0.67896,                 1.0332,                0.53115,                0.98612,             0.00036324,             0.00036324,             0.00036324
                     81,                0.80938,                0.47463,                0.94204,                 0.9201,                0.92935,                0.95815,                0.67634,                  1.064,                0.53612,                 0.9888,             0.00034674,             0.00034674,             0.00034674
                     82,                0.80882,                0.47332,                0.93608,                0.94846,                 0.9029,                0.96139,                0.69029,                 1.0412,                  0.518,                0.99799,             0.00033023,             0.00033023,             0.00033023
                     83,                0.78395,                0.45754,                0.93225,                0.93723,                0.92231,                0.95918,                0.68713,                 1.0844,                 0.5348,                 1.0095,             0.00031373,             0.00031373,             0.00031373
                     84,                0.78921,                0.46453,                0.93506,                0.92703,                0.91996,                0.95819,                0.68313,                  1.039,                0.53014,                0.98844,             0.00029723,             0.00029723,             0.00029723
                     85,                0.78516,                0.46066,                0.93529,                0.93127,                0.90817,                0.95197,                0.67128,                  1.083,                0.54743,                 1.0042,             0.00028072,             0.00028072,             0.00028072
                     86,                0.78741,                0.46196,                0.93061,                 0.9202,                0.92516,                0.95912,                 0.6872,                 1.0329,                0.53179,                 0.9918,             0.00026422,             0.00026422,             0.00026422
                     87,                0.77822,                0.45784,                0.93363,                0.93327,                0.92698,                0.96105,                0.67969,                 1.0528,                0.53942,                0.99151,             0.00024772,             0.00024772,             0.00024772
                     88,                0.78165,                0.45758,                0.93465,                0.92923,                0.92172,                0.96208,                0.68803,                  1.038,                0.52489,                0.98414,             0.00023121,             0.00023121,             0.00023121
                     89,                0.76604,                0.45317,                0.92545,                0.92842,                0.91207,                0.96088,                0.68475,                 1.0516,                 0.5232,                  1.011,             0.00021471,             0.00021471,             0.00021471
                     90,                0.76477,                0.45237,                 0.9321,                0.93512,                 0.9167,                0.95931,                0.68533,                 1.0561,                0.52907,                 1.0021,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71091,                0.41273,                0.89876,                  0.935,                0.90901,                0.95578,                0.67353,                 1.0311,                0.53278,                0.99753,              0.0001817,              0.0001817,              0.0001817
                     92,                0.67857,                0.39211,                0.88607,                0.94152,                0.91012,                0.95735,                0.67904,                 1.0192,                0.53689,                 0.9869,              0.0001652,              0.0001652,              0.0001652
                     93,                0.67996,                0.39269,                  0.886,                0.94017,                0.92019,                0.95793,                 0.6699,                 1.0542,                 0.5428,                0.99475,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.6729,                0.39441,                0.88705,                 0.9347,                0.92516,                0.95857,                 0.6858,                  1.019,                0.52253,                0.98047,             0.00013219,             0.00013219,             0.00013219
                     95,                0.66167,                0.38963,                0.88382,                0.93687,                0.92413,                0.95597,                0.68211,                  1.035,                0.53961,                 0.9881,             0.00011569,             0.00011569,             0.00011569
                     96,                0.66096,                0.38421,                0.88141,                 0.9354,                0.92909,                0.95765,                0.68109,                 1.0229,                0.53225,                0.98082,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.64231,                0.38145,                0.88237,                0.95687,                0.90349,                0.96522,                0.67811,                 1.0453,                0.52999,                0.98993,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.64857,                0.37985,                0.87275,                0.92935,                0.92096,                0.96058,                0.67797,                 1.0336,                0.53091,                0.98312,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.65189,                0.38456,                0.88261,                0.92474,                0.92529,                0.95946,                0.67942,                  1.023,                0.52911,                0.97985,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.64812,                0.37861,                0.87917,                0.93561,                0.92078,                0.96038,                0.68103,                  1.018,                0.52376,                 0.9778,             3.3173e-05,             3.3173e-05,             3.3173e-05
